Date,District,Pulse,Price_per_kg
2021-01-01,Anantapur,Toor Dal,107.57
2021-01-01,Anantapur,Moong Dal,100.15
2021-01-01,Anantapur,Urad Dal,95.3
2021-01-01,Anantapur,Chana Dal,71.92
2021-01-01,Anantapur,Masoor Dal,69.31
2021-01-01,Anantapur,Horse Gram,54.92
2021-01-01,Anantapur,Rajma,111.65
2021-01-01,Anantapur,Lobia,79.37
2021-01-01,Anantapur,Field Pea,61.59
2021-01-01,Anantapur,Moth Bean,85.68
2021-01-01,Anantapur,Cowpea,76.27
2021-01-01,Anantapur,Cluster Bean,90.58
2021-01-01,Anantapur,Rice Bean,84.74
2021-01-01,Anantapur,Winged Bean,102.1
2021-01-01,Anantapur,Hyacinth Bean,90.19
2021-01-01,Chittoor,Toor Dal,104.84
2021-01-01,Chittoor,Moong Dal,101.25
2021-01-01,Chittoor,Urad Dal,96.53
2021-01-01,Chittoor,Chana Dal,75.24
2021-01-01,Chittoor,Masoor Dal,65.69
2021-01-01,Chittoor,Horse Gram,57.58
2021-01-01,Chittoor,Rajma,116.57
2021-01-01,Chittoor,Lobia,83.47
2021-01-01,Chittoor,Field Pea,62.26
2021-01-01,Chittoor,Moth Bean,87.21
2021-01-01,Chittoor,Cowpea,75.26
2021-01-01,Chittoor,Cluster Bean,94.61
2021-01-01,Chittoor,Rice Bean,85.76
2021-01-01,Chittoor,Winged Bean,105.29
2021-01-01,Chittoor,Hyacinth Bean,87.02
2021-01-01,East Godavari,Toor Dal,117.38
2021-01-01,East Godavari,Moong Dal,109.04
2021-01-01,East Godavari,Urad Dal,102.96
2021-01-01,East Godavari,Chana Dal,79.28
2021-01-01,East Godavari,Masoor Dal,72.59
2021-01-01,East Godavari,Horse Gram,63.08
2021-01-01,East Godavari,Rajma,127.29
2021-01-01,East Godavari,Lobia,90.92
2021-01-01,East Godavari,Field Pea,68.74
2021-01-01,East Godavari,Moth Bean,93.31
2021-01-01,East Godavari,Cowpea,86.19
2021-01-01,East Godavari,Cluster Bean,100.98
2021-01-01,East Godavari,Rice Bean,89.79
2021-01-01,East Godavari,Winged Bean,115.42
2021-01-01,East Godavari,Hyacinth Bean,95.9
2021-01-01,Guntur,Toor Dal,101.25
2021-01-01,Guntur,Moong Dal,97.04
2021-01-01,Guntur,Urad Dal,93.04
2021-01-01,Guntur,Chana Dal,69.28
2021-01-01,Guntur,Masoor Dal,65.32
2021-01-01,Guntur,Horse Gram,56.86
2021-01-01,Guntur,Rajma,112.03
2021-01-01,Guntur,Lobia,77.37
2021-01-01,Guntur,Field Pea,58.78
2021-01-01,Guntur,Moth Bean,83.9
2021-01-01,Guntur,Cowpea,71.47
2021-01-01,Guntur,Cluster Bean,87.67
2021-01-01,Guntur,Rice Bean,80.83
2021-01-01,Guntur,Winged Bean,102.89
2021-01-01,Guntur,Hyacinth Bean,85.85
2021-01-01,Krishna,Toor Dal,120.99
2021-01-01,Krishna,Moong Dal,109.87
2021-01-01,Krishna,Urad Dal,106.7
2021-01-01,Krishna,Chana Dal,80.24
2021-01-01,Krishna,Masoor Dal,76.75
2021-01-01,Krishna,Horse Gram,61.51
2021-01-01,Krishna,Rajma,131.93
2021-01-01,Krishna,Lobia,88.79
2021-01-01,Krishna,Field Pea,69.7
2021-01-01,Krishna,Moth Bean,96.0
2021-01-01,Krishna,Cowpea,84.01
2021-01-01,Krishna,Cluster Bean,101.21
2021-01-01,Krishna,Rice Bean,97.15
2021-01-01,Krishna,Winged Bean,116.69
2021-01-01,Krishna,Hyacinth Bean,98.61
2021-01-01,Kurnool,Toor Dal,114.73
2021-01-01,Kurnool,Moong Dal,106.45
2021-01-01,Kurnool,Urad Dal,104.01
2021-01-01,Kurnool,Chana Dal,76.21
2021-01-01,Kurnool,Masoor Dal,71.52
2021-01-01,Kurnool,Horse Gram,63.01
2021-01-01,Kurnool,Rajma,122.91
2021-01-01,Kurnool,Lobia,86.4
2021-01-01,Kurnool,Field Pea,66.83
2021-01-01,Kurnool,Moth Bean,90.29
2021-01-01,Kurnool,Cowpea,82.02
2021-01-01,Kurnool,Cluster Bean,96.37
2021-01-01,Kurnool,Rice Bean,89.68
