state,district,mandal,latitude,longitude,soil type,rabi,kharif,zaid
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,18.1968728,82.9978626,Laterite,Chana Dal,Toor Dal,Moong Dal
Andhra Pradesh,Alluri Sitharama Raju,Araku Valley,18.3273486,82.8775218,Laterite,Chana Dal,Toor Dal,"Moong Dal, Rice Bean"
Andhra Pradesh,Alluri Sitharama Raju,Chintapalle,17.8713171,82.3533266,Laterite,Chana Dal,Toor Dal,Moong Dal
Andhra Pradesh,Alluri Sitharama Raju,Dumbriguda,18.2880195,82.7920084,Laterite,Chana Dal,Toor Dal,Moong Dal
Andhra Pradesh,Alluri Sitharama Raju,G. Madugula,18.0179511,82.4982552,Laterite,Chana Dal,Toor Dal,Moong Dal
Andhra Pradesh,Alluri Sitharama Raju,Gudem Kotha Veedhi,18.01130766,82.7163254,Laterite,Chana Dal,"Toor Dal, Cluster Bean",Moong Dal
Andhra Pradesh,Alluri Sitharama Raju,Hukumpeta,18.1508937,82.6928925,Laterite,Chana Dal,Toor Dal,Moong Dal
Andhra Pradesh,Alluri Sitharama Raju,Koyyuru,17.6550069,82.2182569,Laterite,Chana Dal,Toor Dal,Moong Dal
Andhra Pradesh,Alluri Sitharama Raju,Munchingi Puttu,17.6868159,83.2184815,Laterite,Chana Dal,Toor Dal,Moong Dal
Andhra Pradesh,Alluri Sitharama Raju,Paderu,18.0805802,82.6645469,Laterite,Chana Dal,Toor Dal,Moong Dal
Andhra Pradesh,Alluri Sitharama Raju,Peda Bayalu,18.2853641,82.5875496,Laterite,Chana Dal,Toor Dal,Moong Dal
Andhra Pradesh,Alluri Sitharama Raju,Atchutapuram,17.5642144,82.9788774,Laterite,Chana Dal,Toor Dal,Moong Dal
Andhra Pradesh,Anakapalli,Elamanchili,16.4808462,81.7828033,Red,Field Pea,"Lobia, Cowpea",Horse Gram
Andhra Pradesh,Anakapalli,Kotauratla,17.5662138,82.6834453,Red,Field Pea,"Lobia, Cowpea",Horse Gram
Andhra Pradesh,Anakapalli,Nakkapalle,17.4120856,82.7293193,Red,Field Pea,"Lobia, Cowpea",Horse Gram
Andhra Pradesh,Anakapalli,Payakaraopeta,17.362436,82.553086,Red,Field Pea,"Lobia, Hyacinth Bean",Horse Gram
Andhra Pradesh,Anakapalli,Rambilli,17.4648711,82.9299876,Red,Field Pea,"Lobia, Cowpea",Horse Gram
Andhra Pradesh,Anakapalli,Sarvasiddhi Rayavaram,17.51122277,82.55430581,Red,Field Pea,"Lobia, Cowpea",Horse Gram
Andhra Pradesh,Anakapalli,Anakapalle,17.6896435,83.0023634,Red,Field Pea,"Lobia, Cowpea",Horse Gram
Andhra Pradesh,Anakapalli,Butchayyapeta,17.7866244,82.8862155,Red,Field Pea,"Lobia, Cluster Bean",Horse Gram
Andhra Pradesh,Anakapalli,Cheedikada,17.9285256,82.892324,Red,Field Pea,"Lobia, Cowpea",Horse Gram
Andhra Pradesh,Anakapalli,Chodavaram,17.8313806,82.9340217,Red,Field Pea,"Lobia, Cowpea",Horse Gram
Andhra Pradesh,Anakapalli,Devarapalli,17.9878214,82.9837557,Red,Field Pea,"Lobia, Cowpea",Horse Gram
Andhra Pradesh,Anakapalli,K.Kotapadu,17.8861163,83.0435215,Red,Field Pea,"Lobia, Cowpea",Horse Gram
Andhra Pradesh,Anakapalli,Kasimkota,17.668636,82.9641299,Red,Field Pea,"Lobia, Cowpea",Horse Gram
Andhra Pradesh,Anakapalli,Munagapaka,17.6366778,82.9949038,Red,Field Pea,"Lobia, Cowpea",Horse Gram
Andhra Pradesh,Anakapalli,Paravada,17.6217306,83.0817699,Red,Field Pea,"Lobia, Hyacinth Bean",Horse Gram
Andhra Pradesh,Anakapalli,Sabbavaram,17.7893431,83.1179848,Red,Field Pea,"Lobia, Cowpea",Horse Gram
Andhra Pradesh,Anakapalli,Golugonda,17.6794093,82.4678294,Red,Field Pea,"Lobia, Cowpea",Horse Gram
Andhra Pradesh,Anakapalli,Madugula,17.9168233,82.8142389,Red,Field Pea,"Lobia, Cluster Bean","Horse Gram, Rice Bean"
Andhra Pradesh,Anakapalli,Makavarapalem,17.6203466,82.7158302,Red,Field Pea,"Lobia, Cowpea",Horse Gram
Andhra Pradesh,Anakapalli,Narsipatnam,17.666433,82.6105228,Red,Field Pea,"Lobia, Cowpea","Horse Gram, Winged Bean"
Andhra Pradesh,Anakapalli,Nathavaram,17.5690406,82.4923758,Red,Field Pea,"Lobia, Cowpea",Horse Gram
Andhra Pradesh,Anakapalli,Ravikamatham,17.7926667,82.8007667,Red,Field Pea,"Lobia, Cowpea",Horse Gram
Andhra Pradesh,Anakapalli,Rolugunta,17.7185645,82.667247,Red,Field Pea,"Lobia, Cowpea",Horse Gram
Andhra Pradesh,Anakapalli,Anantapur,14.6818877,77.6005911,Red,Field Pea,"Lobia, Cowpea",Horse Gram
Andhra Pradesh,Anantapuram,Atmakur,14.6167381,79.6245494,Red,Field Pea,"Lobia, Cowpea",Horse Gram
Andhra Pradesh,Anantapuram,Bukkaraya Samudram,14.6818877,77.6005911,Red,Field Pea,"Lobia, Cluster Bean",Horse Gram
Andhra Pradesh,Anantapuram,Garladinne,14.8255661,77.5934621,Red,Field Pea,"Lobia, Cowpea",Horse Gram
Andhra Pradesh,Anantapuram,Kudair,14.7212028,77.4128193,Red,Field Pea,"Lobia, Cowpea",Horse Gram
Andhra Pradesh,Anantapuram,Narpala,14.7108923,77.8052767,Red,Field Pea,"Lobia, Cowpea","Horse Gram, Winged Bean"
Andhra Pradesh,Anantapuram,Peddapappur,14.931237,77.864598,Red,Field Pea,"Lobia, Cowpea",Horse Gram
Andhra Pradesh,Anantapuram,Putlur,14.8125885,77.9667267,Red,Field Pea,"Lobia, Cowpea",Horse Gram
Andhra Pradesh,Anantapuram,Raptadu,14.6158174,77.6063541,Red,Field Pea,"Lobia, Cowpea",Horse Gram
Andhra Pradesh,Anantapuram,Singanamala,14.8000291,77.717308,Red,Field Pea,"Lobia, Cowpea",Horse Gram
Andhra Pradesh,Anantapuram,Tadipatri,14.9091024,78.0092047,Red,Field Pea,"Lobia, Cowpea",Horse Gram
Andhra Pradesh,Anantapuram,Yellanur,14.7005441,78.0723248,Red,"Field Pea, Rajma","Lobia, Hyacinth Bean",Horse Gram
Andhra Pradesh,Anantapuram,Gooty,15.1229477,77.6325593,Red,Field Pea,"Lobia, Cluster Bean",Horse Gram
Andhra Pradesh,Anantapuram,Guntakal,15.1660706,77.3769836,Red,Field Pea,"Lobia, Cowpea",Horse Gram
Andhra Pradesh,Anantapuram,Pamidi,14.9521175,77.5947964,Red,Field Pea,"Lobia, Cowpea",Horse Gram
Andhra Pradesh,Anantapuram,Peddavadugur,15.0191823,77.6736554,Red,Field Pea,"Lobia, Cowpea",Horse Gram
Andhra Pradesh,Anantapuram,Uravakonda,14.9460376,77.2604842,Red,Field Pea,"Lobia, Cowpea",Horse Gram
Andhra Pradesh,Anantapuram,Vajrakarur,15.0262584,77.38699,Red,Field Pea,"Lobia, Cowpea",Horse Gram
Andhra Pradesh,Anantapuram,Vidapanakal,15.0563702,77.1844619,Red,"Field Pea, Rajma","Lobia, Cowpea",Horse Gram
Andhra Pradesh,Anantapuram,Yadiki,15.050394,77.8727126,Red,Field Pea,"Lobia, Cowpea",Horse Gram
Andhra Pradesh,Anantapuram,Beluguppa,14.714318,77.1341351,Red,Field Pea,"Lobia, Cowpea",Horse Gram
Andhra Pradesh,Anantapuram,Bommanahal,15.0008268,76.9779875,Red,Field Pea,"Lobia, Cluster Bean",Horse Gram
Andhra Pradesh,Anantapuram,Brahmasamudram,14.5523911,76.947022,Red,Field Pea,"Lobia, Cowpea",Horse Gram
Andhra Pradesh,Anantapuram,D.Hirehal,15.0096592,76.8379942,Red,Field Pea,"Lobia, Cowpea",Horse Gram
Andhra Pradesh,Anantapuram,Gummagatta,14.5814165,76.854799,Red,Field Pea,"Lobia, Cowpea",Horse Gram
